Disease,Symptoms,Diagnosis & Tests,Symptom Severity,Duration of Treatment,Medical History,Current Medications,Risk Factors,Environmental Factors,Sleep Patterns,Stress Levels,Physical Activity Levels,Family History,Dietary Habits,Allergies (Food/Env),Seasonal Variation,Age Group,Gender,Occupation and Lifestyle,Cultural Preferences,Formulation,Doshas,Constitution/Prakriti,Diet and Lifestyle Recommendations,Yoga & Physical Therapy,Medical Intervention,Prevention,Prognosis,Complications,Recommendations for Patient,Herbal/Alternative Remedies,Ayurvedic Herbs Recommended
Cystinosis,"Weakness, kidney issues, vision problems","Blood Tests, Urine Tests",Severe,Lifelong,"Genetic, Kidney issues","Cysteamine, Kidney transplant",Genetic Mutation,"Genetic mutation, Kidney dysfunction",Irregular Sleep,Moderate Stress,Low,Family history of genetic disorders,"Low-protein, High-calcium",,All seasons,Childhood to Adult,Both genders,"Home care, Sedentary",Avoids high-protein foods,"Punarnava (3g), Warm water (200ml)",Kapha,Kapha-Prakriti,Stay hydrated; include low-sodium meals and avoid heavy foods.,None specific,"Cysteamine, Kidney Transplant","Genetic Counseling, Early Detection",Managed with Medication,"Kidney Failure, Vision Impairment","Regular Monitoring, Kidney Care",None specific,"Amla, Ashwagandha"
Dandruff,"Scalp itchiness, flaking","Physical Exam, Scalp Scraping",Mild to Moderate,2-4 weeks,"Dry skin, Fungal infection","Antifungal shampoo, Topical steroids","Dry Skin, Oily Skin, Fungal Infection","Dry environment, Poor hygiene",Irregular Sleep,Moderate Stress,Low,No family history,"Balanced, Low-fat","Dust, Pollution","Winter, Dry season",All ages,Both genders,"Urban, Stressful jobs",Avoids harsh chemicals,Neem oil (as needed),"Kapha, Pitta",Kapha-Prakriti,Avoid oily and processed foods; keep the scalp clean and dry.,"Scalp Massage, Stress Reduction","Antifungal Shampoos, Steroids","Regular Hair Wash, Scalp Care",Can be Managed with Treatment,"Scalp Irritation, Hair Loss","Regular Scalp Care, Hydration","Tea Tree Oil, Aloe Vera","Neem, Aloe Vera"
Dementia,"Memory loss, confusion, difficulty concentrating","Cognitive Tests, MRI, Blood Tests",Severe,Lifelong,"Age-related, Neurodegenerative diseases","Cognitive enhancers, Antidepressants","Age, Genetics, Head Trauma","Age, Genetic factors, Poor mental health",Irregular Sleep,High Stress,Low,Family history of dementia,"High-calcium, Low-protein",,All seasons,60+ years,Both genders,"Sedentary, Caregiver stress",Avoids excessive sugar,"Brahmi (2g), Warm water (200ml)",Vata,Vata-Prakriti,Provide a balanced diet; include brain-boosting foods like nuts and seeds.,"Cognitive Therapy, Memory Training","Medication for Symptoms, Supportive Care","Cognitive Exercise, Healthy Diet","Progressive, Managed with Care","Memory Loss, Behavioral Changes","Cognitive Stimulation, Social Engagement",None specific,"Brahmi, Ashwagandha"
Dengue Fever,"High fever, joint pain, skin rash","Blood Test, PCR Test",Severe,1-2 weeks,Mosquito-borne viral infection,"Antipyretics, Fluids","Mosquito Bites, Poor Sanitation","Mosquito exposure, High rainfall",Poor Sleep,High Stress,Low,No family history,"High-protein, Hydrating",Mosquitoes,Rainy season,All ages,Both genders,"Rural, Tropical areas",Avoids stagnant water,"Papaya leaves (10ml), Warm water (200ml)",Pitta,Pitta-Prakriti,Stay hydrated; include coconut water and rest adequately.,"Rest, Hydration","Supportive Care, Antipyretics","Mosquito Control, Avoid Bites",Can be Managed with Medication,"Hemorrhagic Fever, Shock","Hydration, Rest, Mosquito Control",None specific,None specific
Dengue Hemorrhagic Fever,"High fever, bleeding, abdominal pain","Blood Test, PCR Test",Severe,2-4 weeks,Mosquito-borne viral infection,"Antipyretics, IV fluids","Mosquito Bites, Poor Sanitation","Mosquito exposure, High rainfall",Poor Sleep,High Stress,Low,No family history,"High-protein, Hydrating",Mosquitoes,Rainy season,All ages,Both genders,"Rural, Tropical areas",Avoids stagnant water,"Giloy (3g), Papaya leaves (10ml), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid strenuous activities; consume light meals and herbal teas.,None specific,"Hospitalization, Blood Transfusion","Mosquito Control, Avoid Bites",Can be Managed with Treatment,"Organ Failure, Hemorrhage","Regular Monitoring, Hydration",None specific,None specific
Dentinogenesis Imperfecta,"Discolored teeth, fragile enamel","Genetic Testing, X-rays",Severe,Lifelong,"Genetic, Dental enamel issues",Cosmetic dental treatment,Genetic Mutation,"Genetic mutation, Poor oral hygiene",Irregular Sleep,Low Stress,Low,Family history of dental issues,"High-calcium, Low-protein",,All seasons,Childhood,Both genders,Sedentary lifestyle,Avoids sugary foods,"Licorice root (2g), Water (as needed)","Kapha, Pitta",Kapha-Prakriti,Include calcium-rich foods; avoid sugary and acidic foods.,None specific,"Dental Care, Crowns, Root Canals","Dental Care, Early Detection",Can be Managed with Dental Care,"Tooth Fragility, Hearing Loss",Regular Dental Checkups,None specific,None specific
Depression,"Sadness, loss of interest, fatigue","Clinical Evaluation, Blood Tests",Severe,6 months to lifelong,"Stress, Genetics, Chemical imbalance","Antidepressants, Therapy","Genetics, Stress, Trauma","High stress, Lack of social support",Poor Sleep,High Stress,Low,Family history of depression,"Balanced, Low-sodium",,"Winter, Cold season",All ages,Both genders,"Sedentary, Stressful jobs",Avoids high-caffeine foods,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid alcohol and caffeine; practice mindfulness and yoga.,"Yoga for Mental Health, Breathing","Antidepressants, Therapy","Regular Exercise, Healthy Diet",Can be Managed with Medication,"Suicidal Thoughts, Weight Changes","Therapy, Social Support","St. John's Wort, Ashwagandha","Ashwagandha, Brahmi"
Desbuquois Dysplasia,"Short stature, joint contractures, skeletal dysplasia","Genetic Testing, X-ray",Severe,Lifelong,"Genetic, Developmental disorder",Supportive care,"Genetic Mutation, Family History",Genetic mutation,Irregular Sleep,High Stress,Low,Family history of genetic disorders,"High-calcium, Low-protein",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids high-protein foods,"Shatavari (10ml), Warm water (200ml)","Vata, Kapha",Vata-Prakriti,"Include nutrient-dense foods; avoid heavy, processed foods.",None specific,"Physical Therapy, Surgery","Genetic Counseling, Early Diagnosis",Managed with Care,"Joint Deformities, Growth Delay","Regular Monitoring, Supportive Care",None specific,"Ashwagandha, Guggulu"
Diabetes,"Frequent urination, excessive thirst, fatigue","Blood Glucose Test, A1C Test",Severe,Lifelong,"Family history, Obesity, Sedentary lifestyle","Insulin, Oral hypoglycemics","Obesity, Family History, Age","High sugar intake, Lack of exercise",Irregular Sleep,High Stress,Low,Family history of diabetes,"Low-carb, High-fiber",,All seasons,40-70 years,Both genders,Sedentary lifestyle,Avoids sugary foods,Fenugreek (3g daily),"Kapha, Pitta",Kapha-Pitta,Avoid sugary foods; include bitter gourd and neem in the diet.,Yoga for Blood Sugar Control,"Insulin, Oral Medications","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Heart Disease, Kidney Failure","Regular Monitoring, Healthy Lifestyle","Cinnamon, Fenugreek","Bitter Melon, Fenugreek"
Diabetes Mellitus Type 1 and Type 2,"Increased thirst, frequent urination, fatigue","Blood Glucose Test, A1C Test",Severe,Lifelong,"Genetic (Type 1), Obesity (Type 2)","Insulin (Type 1), Metformin (Type 2)","Genetic Factors, Obesity, Age","High sugar intake, Lack of exercise",Irregular Sleep,High Stress,Low,Family history of diabetes,"Low-carb, High-fiber",,All seasons,10-70 years,Both genders,Sedentary lifestyle,Avoids sugary foods,"Bitter gourd (50ml), Water (200ml)",Kapha,Kapha-Prakriti,Avoid refined sugars; include high-fiber foods and exercise regularly.,Yoga for Blood Sugar Control,"Insulin, Oral Medications","Healthy Diet, Regular Exercise",Can be Managed with Treatment,"Heart Disease, Kidney Failure","Regular Monitoring, Healthy Lifestyle","Cinnamon, Fenugreek","Bitter Melon, Gymnema Sylvestre"
Digestive Disorders,"Bloating, nausea, indigestion, discomfort after eating","Physical Exam, Endoscopy, Stool Test",Moderate to Severe,2-4 weeks to lifelong,"Poor diet, Stress, Irritable bowel syndrome","Antacids, Laxatives","Poor Diet, Stress, Infections","Poor diet, Stress",Irregular Sleep,High Stress,Low,Family history of gastrointestinal issues,"Low-fiber, High-fat","Dairy, Gluten",All seasons,All ages,Both genders,"Sedentary, High-stress jobs",Avoids spicy foods,"Ajwain (1 tsp), Warm water (200ml)","Pitta, Vata",Pitta-Vata,"Avoid fried and greasy foods; eat small, frequent meals.",Yoga for Digestive Health,"Medications, Dietary Changes","Healthy Diet, Stress Management",Can be Managed with Treatment,"Constipation, Ulcers","Healthy Diet, Stress Management","Peppermint, Ginger","Triphala, Ginger"
Dihydropyrimidine Dehydrogenase Deficiency,"Diarrhea, mouth sores, high blood pressure","Genetic Testing, Urine Tests",Severe,Lifelong,"Genetic, Metabolic disorder",Supportive care,Genetic Mutation,"Genetic mutation, Metabolic imbalance",Irregular Sleep,High Stress,Low,Family history of metabolic disorders,"Low-protein, High-calcium",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids high-protein foods,"Brahmi (2g), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid stress; drink herbal teas like chamomile.,None specific,"Chemotherapy, Vitamin Therapy","Genetic Counseling, Early Diagnosis",Managed with Treatment,"Seizures, Neurological Impairments","Regular Monitoring, Vitamin Supplements",None specific,None specific
Diphtheria,"Sore throat, fever, difficulty breathing","Throat Culture, Blood Tests",Severe,2-4 weeks,"Bacterial infection, Lack of vaccination","Antibiotics, Vaccination","Lack of Vaccination, Poor Hygiene",Exposure to infected individuals,Irregular Sleep,Moderate Stress,Low,No family history,"Balanced, High-protein",,"Winter, Cold season",All ages,Both genders,Poor sanitation areas,Avoids close contact,"Turmeric (1/2 tsp), Milk (200ml)","Kapha, Pitta",Kapha-Pitta,Avoid cold foods; drink warm herbal teas and soups.,None specific,"Antibiotics, Antitoxins","Vaccination, Hygiene Practices",Can be Managed with Treatment,"Heart Failure, Respiratory Distress","Regular Vaccination, Hygiene",None specific,None specific
Down Syndrome,"Developmental delays, intellectual disability","Genetic Testing, Physical Exam",Severe,Lifelong,"Genetic, Chromosomal disorder","Supportive care, Therapies",Genetic Mutation,Genetic mutation,Irregular Sleep,Moderate Stress,Low,Family history of genetic disorders,"Balanced, High-calcium",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids high-protein foods,"Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,"Provide a balanced, nutrient-dense diet; include sensory stimulation.","Gentle Physical Therapy, Stretching","Early Intervention, Surgery","Genetic Counseling, Early Diagnosis",Can be Managed with Care,"Heart Defects, Developmental Delay","Regular Monitoring, Early Intervention",None specific,"Brahmi, Ashwagandha"
Dracunculiasis,"Painful ulcers, fever, nausea","Skin Examination, Stool Test",Severe,1-2 months,Parasitic infection,Antiparasitic drugs,"Contaminated Water, Poor Sanitation","Contaminated water, Poor hygiene",Irregular Sleep,High Stress,Low,No family history,"Balanced, High-protein",,"Summer, Rainy season",All ages,Both genders,Poor sanitation areas,Avoids unclean water,"Neem leaves (5-6), Water (as needed)",Kapha,Kapha-Prakriti,Maintain proper hygiene; avoid contaminated water.,None specific,"Surgery, Antimicrobial Medications","Safe Water Practices, Hygiene",Can be Managed with Treatment,"Secondary Infections, Shock","Safe Water, Hygiene Practices",None specific,None specific
Duchenne Muscular Dystrophy,"Muscle weakness, difficulty walking","Genetic Testing, Muscle Biopsy",Severe,Lifelong,"Genetic, Muscle degeneration","Supportive care, Physiotherapy","Genetic Mutation, Family History","Genetic mutation, Muscle weakness",Irregular Sleep,High Stress,Low,Family history of muscular disorders,"High-calcium, Low-protein",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids high-protein foods,"Shatavari (10ml), Ashwagandha (5g), Warm water","Vata, Pitta",Vata-Prakriti,Include protein-rich foods; avoid excessive physical exertion.,"Strengthening Exercises, Stretching","Physical Therapy, Steroids","Genetic Counseling, Early Diagnosis","Progressive, Managed with Therapy","Respiratory Failure, Heart Failure","Regular Monitoring, Physical Therapy",None specific,"Ashwagandha, Guggulu"
Dyggve-Melchior-Clausen Syndrome,"Developmental delays, skeletal deformities","Genetic Testing, X-ray",Severe,Lifelong,"Genetic, Skeletal disorder",Supportive care,Genetic Mutation,"Genetic mutation, Physical deformities",Irregular sleep,Moderate stress,Low,Family history of genetic disorders,"Low-protein, High-calcium",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids high-protein foods,"Shatavari (10ml), Warm water (200ml)","Vata, Kapha",Vata-Prakriti,"Avoid cold foods; provide a balanced, nutritious diet.",None specific,"Physical Therapy, Surgery","Genetic Counseling, Early Diagnosis",Managed with Therapy,"Growth Delays, Intellectual Impairment","Regular Monitoring, Supportive Care",None specific,None specific
Ebola,"High fever, vomiting, diarrhea, hemorrhage","Blood Test, PCR Test",Severe,2-4 weeks,"Viral infection, Exposure",Antiviral medications,Contact with Infected Body Fluids,Exposure to infected individuals,Irregular sleep,High stress,Low,No family history,"Balanced, High-protein",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids close contact,"Giloy (3g), Neem (2g), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid direct contact with infected individuals; practice hygiene.,None specific,"Antiviral Medications, Supportive Care",Avoid Contact with Infected Individuals,Can be Managed with Treatment,"Organ Failure, Hemorrhaging","Protective Measures, Early Detection",None specific,None specific
Ebola Virus,"Fever, chills, weakness, hemorrhaging","Blood Test, PCR Test",Severe,2-4 weeks,"Viral infection, Exposure",Antiviral medications,Contact with Infected Body Fluids,Exposure to infected individuals,Irregular sleep,High stress,Low,No family history,"Balanced, High-protein",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids close contact,"Tulsi (3g), Giloy (2g), Warm water (200ml)","Pitta, Kapha",Kapha-Pitta,Practice good hygiene; avoid direct contact with infected individuals.,None specific,"Antiviral Medications, Supportive Care",Avoid Contact with Infected Individuals,Can be Managed with Treatment,"Organ Failure, Hemorrhaging","Protective Measures, Early Detection",None specific,None specific
Echinococcosis,"Abdominal pain, nausea, liver cysts","Blood Tests, Imaging (CT, MRI)",Severe,3-6 months,"Parasitic infection, Poor hygiene",Antiparasitic drugs,Consumption of Contaminated Food,"Contaminated water, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Low-protein, High-calcium",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids undercooked meat,"Triphala (1 tsp), Warm water (200ml)",Kapha,Kapha-Prakriti,Avoid raw meat; include fiber-rich foods in the diet.,None specific,"Surgery, Antiparasitic Medication","Safe Food Practices, Hygiene",Can be Managed with Treatment,"Organ Damage, Cyst Rupture","Avoid Contaminated Food, Regular Checkups",None specific,"Neem, Amla"
Eczema (Atopic Dermatitis),"Itchy skin, red rashes, inflammation","Physical Exam, Skin Biopsy",Moderate to Severe,2-4 weeks to lifelong,"Allergies, Genetic",Topical corticosteroids,"Family History, Allergies, Dry Skin","Allergens, Irritants, Climate changes",Poor sleep,Moderate stress,Low,Family history of eczema,"High-moisture, Hypoallergenic","Dust, Pollen","Seasonal, Dry season",Childhood,Both genders,High stress jobs,Avoids harsh chemicals,Fresh Aloe vera gel (apply as needed),Pitta,Pitta-Prakriti,Avoid allergens; apply moisturizing creams and use mild soaps.,"Skin Care, Stress Reduction","Topical Steroids, Moisturizers","Avoid Irritants, Moisturize Skin",Can be Managed with Treatment,"Infections, Scarring","Regular Skin Care, Avoid Irritants","Aloe Vera, Oatmeal","Neem, Aloe Vera"
Emphysema,"Shortness of breath, chronic cough","Chest X-ray, CT Scan, Pulmonary Function Test",Severe,Lifelong,"Smoking, Respiratory conditions","Bronchodilators, Steroids","Smoking, Air Pollution","Smoking, Air pollution",Irregular sleep,High stress,Low,Family history of respiratory issues,"Low-sodium, High-fiber",,"Winter, Cold season",40-80 years,Both genders,"Sedentary, Pollution areas",Avoids smoking,"Mulethi (3g), Tulsi (2g), Warm water (200ml)","Kapha, Vata",Kapha-Prakriti,Avoid smoking; perform breathing exercises and consume light meals.,"Breathing Exercises, Physical Therapy","Oxygen Therapy, Surgery, Medications","Quit Smoking, Avoid Pollutants",Can be Managed with Medication,"Respiratory Failure, Lung Infections","Regular Monitoring, Quit Smoking",None specific,None specific
Endometriosis,"Pelvic pain, heavy periods, pain during intercourse","Laparoscopy, Ultrasound, Blood Tests",Moderate to Severe,Lifelong,"Hormonal imbalance, Genetic","Pain relievers, Hormonal treatment","Family History, Retrograde Menstruation","Hormonal changes, Stress",Irregular sleep,High stress,Moderate,Family history of endometriosis,"Balanced, Low-fat",,All seasons,20-40 years,Female,"Stressful jobs, Sedentary",Avoids high-fat foods,"Ashwagandha (5g), Warm milk (200ml)","Vata, Pitta",Vata-Prakriti,Avoid spicy foods; include anti-inflammatory foods like turmeric.,"Yoga for Pelvic Health, Relaxation","Surgery, Hormonal Therapy","Early Diagnosis, Pain Management",Can be Managed with Treatment,"Infertility, Chronic Pain","Pain Management, Stress Reduction",None specific,"Ashwagandha, Shatavari"
Enterobiasis,"Itchy anus, digestive discomfort","Stool Test, Pinworm Tape Test",Moderate,1-2 weeks,Parasitic infection,Antiparasitic medications,"Poor Hygiene, Contaminated Food","Contaminated food, Poor hygiene",Irregular sleep,Low stress,Low,No family history,"Balanced, High-protein",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids unclean water,"Garlic (2 cloves), Ginger (1g), Warm water (200ml)","Vata, Pitta",Pitta-Prakriti,Maintain hygiene; avoid sugary foods and consume fiber-rich meals.,None specific,Anthelmintic Medications,"Regular Handwashing, Clean Living",Can be Managed with Medication,"Abdominal Pain, Itching","Good Hygiene, Clean Environment",None specific,None specific
Epilepsy,"Seizures, confusion, loss of consciousness","EEG, MRI, CT Scan",Severe,Lifelong,"Neurological, Genetic",Antiepileptic drugs,"Genetic Factors, Brain Injury","Family history, Triggers like stress",Irregular sleep,High stress,Low,Family history of epilepsy,"Balanced, High-protein",,All seasons,All ages,Both genders,"Sedentary, High-stress jobs",Avoids triggers,"Brahmi (2g), Warm water (200ml)",Vata,Vata-Prakriti,Avoid excessive screen time; practice mindfulness and yoga.,"Relaxation, Mindfulness",Antiepileptic Drugs,"Avoid Triggers, Medication Adherence",Can be Managed with Medication,"Seizures, Cognitive Impairment","Regular Monitoring, Medication",None specific,"Brahmi, Ashwagandha"
Fascioliasis,"Abdominal pain, fever, nausea, liver swelling","Blood Tests, Stool Test, Imaging",Severe,1-3 months,Parasitic infection,Antiparasitic medications,Consumption of Contaminated Food,"Contaminated water, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Low-protein, High-calcium",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids unclean water,"Kutki (3g), Warm water (200ml)","Pitta, Kapha",Kapha-Prakriti,Avoid raw water or food; consume light meals and stay hydrated.,None specific,Anthelmintic Medications,"Safe Food Practices, Hygiene",Can be Managed with Treatment,"Liver Damage, Abdominal Pain","Safe Food, Regular Monitoring",None specific,None specific
Fever,"High temperature, chills, sweating","Physical Exam, Blood Tests",Mild to Severe,3-5 days,"Viral, Bacterial infections","Antipyretics, Antibiotics","Infections, Heat, Inflammation","Infections, Seasonal changes",Irregular sleep,Moderate stress,Low,Family history of infections,"Balanced, Hydrating foods",,All seasons,All ages,Both genders,Sedentary lifestyle,Avoids excessive heat,"Tulsi (5g), Warm water (200ml)",Pitta,Pitta-Prakriti,Stay hydrated; include cooling foods like coconut water and fruits.,"Rest, Hydration, Breathing Exercises","Antipyretics, Fluids","Hydration, Rest",Usually resolves with Treatment,"Dehydration, Infections","Rest, Hydration","Ginger, Peppermint","Turmeric, Ginger"
Fibromyalgia,"Chronic pain, fatigue, sleep disturbances","Physical Exam, Pain Evaluation",Moderate to Severe,Lifelong,"Chronic pain, Stress","Pain relievers, Antidepressants","Stress, Genetics, Infections","Stress, Cold, Overexertion",Irregular sleep,High stress,Low,Family history of fibromyalgia,"Balanced, Anti-inflammatory",,All seasons,30-60 years,Both genders,"Sedentary, Stressful jobs",Avoids triggers,"Ashwagandha (5g), Warm water (200ml)",Vata,Vata-Prakriti,Include anti-inflammatory foods like turmeric; avoid stress.,"Yoga for Relaxation, Stretching","Pain Management, Antidepressants","Stress Management, Exercise",Managed with Medication,"Chronic Pain, Sleep Disorders","Regular Exercise, Stress Management",None specific,"Ashwagandha, Guggulu"
Filariasis,"Swelling, fever, lymph node enlargement","Blood Test, Ultrasound, Biopsy",Severe,1-2 months,"Parasitic infection, Mosquito bite",Antiparasitic medications,"Mosquito Bites, Poor Sanitation","Poor sanitation, Mosquito-prone areas",Irregular sleep,Moderate stress,Low,No family history,"Low-fat, High-protein",,Rainy season,All ages,Both genders,Poor sanitation areas,Avoids mosquito exposure,"Neem leaves (5-6), Water (as needed)","Kapha, Pitta",Kapha-Prakriti,Avoid stagnant water; maintain proper hygiene.,None specific,Antifilarial Medications,"Mosquito Nets, Avoid Stagnant Water",Can be Managed with Medication,"Lymphedema, Elephantiasis","Avoid Mosquito Bites, Clean Environment",None specific,None specific
Fragile X Syndrome,"Developmental delays, intellectual disability","Genetic Testing, Physical Exam",Moderate to Severe,Lifelong,Genetic disorder,Supportive therapies,"Genetic Mutation, Family History","Genetic, Family history",Irregular sleep,High stress,Low,Family history of Fragile X syndrome,"Balanced, Nutrient-rich",,All seasons,Childhood,Both genders,"Special care, Home care",Avoids overstimulation,"Brahmi (2g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Provide a balanced diet with omega-3 fatty acids; avoid processed foods.,None specific,"Behavioral Therapy, Supportive Care","Genetic Counseling, Early Diagnosis",Managed with Therapy,"Intellectual Impairment, Behavioral Issues","Early Intervention, Supportive Care",None specific,None specific
Gallstones,"Abdominal pain, nausea, indigestion","Ultrasound, Blood Tests",Moderate to Severe,1-3 weeks,"Obesity, Fatty diet","Pain relievers, Surgery (if severe)","Obesity, Age, High-fat Diet","Fatty diet, Obesity",Irregular sleep,Moderate stress,Low,Family history of gallstones,"Low-fat, High-fiber",,All seasons,40-60 years,Both genders,Sedentary lifestyle,Avoids high-fat foods,"Triphala (1 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid fatty and fried foods; include fiber-rich foods and drink plenty of water.,None specific,"Surgery, Medications","Healthy Diet, Regular Exercise",Can be Managed with Surgery,"Gallbladder Inflammation, Blockages","Healthy Diet, Regular Checkups",None specific,None specific
Gastroesophageal Reflux Disease (GERD),"Heartburn, regurgitation, chest pain","Endoscopy, pH Monitoring, X-ray",Moderate to Severe,2-4 weeks,"Acid reflux, Obesity","Antacids, Proton pump inhibitors","Obesity, Smoking, Alcohol","Spicy foods, Alcohol, Stress",Irregular sleep,High stress,Low,Family history of GERD,"Low-fat, Small meals","Spicy food, Citrus fruits",All seasons,All ages,Both genders,"Sedentary lifestyle, Stress",Avoids heavy meals,"Ginger (2g), Tulsi (5g), Warm water (200ml)",Pitta,Pitta-Prakriti,"Avoid spicy and acidic foods; consume smaller, frequent meals.","Yoga for Digestion, Stress Management","Antacids, Proton Pump Inhibitors","Healthy Diet, Avoid Trigger Foods",Can be Managed with Medication,"Esophageal Damage, Ulcers","Avoid Trigger Foods, Healthy Lifestyle",None specific,"Triphala, Guduchi"
Giardiasis,"Diarrhea, nausea, bloating","Stool Test, Blood Tests",Moderate,2-4 weeks,"Parasitic infection, Contaminated water",Antiparasitic medications,"Contaminated Water, Poor Sanitation","Contaminated water, Poor sanitation",Irregular sleep,Moderate stress,Low,No family history,"Balanced, Hydrating foods",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids unclean water,"Neem leaves (5g), Turmeric (1/2 tsp), Warm water (200ml)",Pitta,Pitta-Prakriti,Avoid untreated water; drink herbal teas and eat light meals.,None specific,Antiprotozoal Medications,"Safe Water Practices, Hygiene",Can be Managed with Medication,"Dehydration, Malabsorption","Safe Water, Good Hygiene Practices",None specific,None specific
Glomerulonephritis,"Swelling, blood in urine, high blood pressure","Urine Tests, Blood Tests, Biopsy",Moderate to Severe,3-6 months,"Kidney inflammation, Infections","Diuretics, Steroids","Infections, Autoimmune Diseases","Infections, Poor hygiene",Irregular sleep,High stress,Low,Family history of kidney disease,"Low-sodium, High-protein",,All seasons,20-50 years,Both genders,"Sedentary lifestyle, Stress",Avoids salty foods,"Punarnava (3g), Warm water (200ml)","Vata, Kapha",Vata-Kapha,Avoid salty foods; drink plenty of water and follow low-protein diet.,None specific,"Immunosuppressive Medications, Dialysis","Early Diagnosis, Treatment",Can be Managed with Treatment,"Kidney Failure, High Blood Pressure","Regular Monitoring, Healthy Lifestyle",None specific,None specific
Gout,"Joint pain, swelling, redness, especially in big toe","Blood Tests, Joint Aspiration",Severe,1-2 weeks,"Uric acid build-up, Obesity",Anti-inflammatory medications,"Obesity, Alcohol, High-purine Foods","High purine foods, Alcohol",Irregular sleep,High stress,Low,Family history of gout,"Low-fat, Low-purine","Alcohol, Shellfish",Cold season,40-60 years,Both genders,Sedentary lifestyle,Avoids alcohol,"Ginger (2g), Turmeric (1/2 tsp), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Avoid purine-rich foods (like red meat); consume more fruits and vegetables.,"Stretching, Joint Mobility Exercises","Medications (NSAIDs, Uricosuric Drugs)","Healthy Diet, Weight Management",Can be Managed with Medication,"Joint Damage, Kidney Stones","Avoid Trigger Foods, Regular Checkups","Cherries, Ginger",None specific
Graves Disease,"Hyperthyroidism, weight loss, nervousness, heat intolerance","Blood Tests, Imaging, Physical Exam",Severe,Lifelong,"Hyperthyroidism, Autoimmune",Antithyroid medications,"Family History, Autoimmune Factors","Autoimmune triggers, Stress",Irregular sleep,High stress,Low,Family history of Graves' disease,"Balanced, Iodine-rich",,All seasons,20-40 years,Female,"Sedentary, High-stress jobs",Avoids excessive iodine,"Ashwagandha (5g), Warm water (200ml)","Pitta, Vata",Pitta-Prakriti,Avoid stimulating foods like caffeine; practice stress reduction.,"Yoga for Thyroid Health, Relaxation","Antithyroid Medications, Surgery","Avoid Stress, Regular Monitoring",Can be Managed with Treatment,"Heart Problems, Thyroid Crisis","Regular Monitoring, Medication",None specific,"Ashwagandha, Brahmi"
Guillain-Barre Syndrome,"Weakness, numbness, tingling in limbs, difficulty breathing","Physical Exam, Spinal Fluid Analysis",Severe,1-3 months,"Autoimmune disorder, Viral infection","Immune globulin, Plasma exchange","Viral Infections, Autoimmune Response","Viral infections, Autoimmune triggers",Irregular sleep,High stress,Low,Family history of autoimmune diseases,"Balanced, High-calcium",,All seasons,20-50 years,Both genders,"Sedentary lifestyle, Stress",Avoids infections,"Ashwagandha (5g), Warm water (200ml)","Vata, Pitta",Vata-Prakriti,Include light exercises; avoid cold or damp environments.,"Physical Therapy, Stretching","Immunoglobulin Therapy, Plasma Exchange","Early Diagnosis, Supportive Care",Can be Managed with Treatment,"Muscle Weakness, Paralysis","Early Intervention, Supportive Care",None specific,None specific
Guinea Worm Disease,"Painful blisters, swelling, fever","Skin Examination, Urine Test",Severe,3-6 months,"Parasitic infection, Contaminated water",Antiparasitic medications,"Contaminated Water, Poor Sanitation","Contaminated water, Poor sanitation",Irregular sleep,High stress,Low,No family history,"Low-fat, Hydrating foods",,All seasons,All ages,Both genders,Poor sanitation areas,Avoids unclean water,"Neem leaves (5-6), Water (as needed)","Kapha, Pitta",Kapha-Prakriti,Maintain hygiene; avoid drinking contaminated water.,None specific,"Surgery, Antimicrobial Medications","Safe Water Practices, Hygiene",Can be Managed with Surgery,"Secondary Infections, Shock","Safe Water, Hygiene Practices",None specific,None specific
